innovations_name ,innovations_description ,linkdin_post,online_course
Building inspection and valuation,"Non-destructive testing methods for
materials and performance of products
together with status assessment
methods",https://www.linkedin.com/posts/reincarnate-eu_reincarnateinnovations-innovation-constructionindustry-activity-7385940370918027265-00Lr?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,
Interfaces to existing databases and planning tools,"Interoperability technologies to instil
data from various external sources, such
as LCA database, national waste
registries, or e-Marketplaces",https://www.linkedin.com/posts/reincarnate-eu_reincarnateinnovations-constructionindustry-activity-7391028873305501697-tvfX?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,
BIM for circular value flow planning,"Tools and methods to allow for
understanding possibilities to reuse
materials and construction products
beyond their initial use within a single
building. ",https://www.linkedin.com/posts/reincarnateinnovation-constructionindustry-share-7284865725943476226-EfB7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,
BIM supported modular dismantling planning methods,"Using functional, spatial and interface
information of construction products,
detailed dismantling work plans, and
more general construction schedules
can be automatically generated.
Different possible alternatives for work
plans can be generated for detailed
analysis.",https://www.linkedin.com/posts/reincarnate-eu_reincarnateacademy-bim-circularconstruction-activity-7426927141109252098-B9gj?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-bim-circularconstruction-ugcPost-7426927092468166656-5-iM?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Strategic circular decision making for real estate assets ,"Methods to understand adaptive reuse
potential of buildings and/or reuse
potential of construction products /
materials within large building
portfolios.",https://www.linkedin.com/posts/reincarnate-eu_reincarnateacademy-circularthinking-circularambitions-activity-7424368662746234880-urGr?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-circularthinking-circularambitions-ugcPost-7424332387326570496-ivd3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
On-site waste assessment and seperation ,"Automated robots adopting
hyperspectral imaging and deep
learning technologies for material
recognition upon the prior knowledge
from CP-IM",https://www.linkedin.com/posts/reincarnate-eu_reincarnateinnovations-innovation-constructionindustry-activity-7388495944507535360-5ECz?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,
Upgrade solutions for construction products ,"Solutions and approaches for
deinstallation, performance, and
upgrading of construction products,
such as windows, façade elements and
HVAC components. ",https://www.linkedin.com/posts/reincarnateinnovation-constructionindustry-share-7297171844145569792-tH0Z?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-training-builtenvironment-share-7348580651991728128-kDHm?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Architectural design methods,"Parametric modelling techniques and
functional classification of systems and
components the design allows for reuse
of building components and recyclables
that can be semi-automatically be
assigned in the design models",https://www.linkedin.com/posts/reincarnate-eu_reincarnateacademy-buildingsector-reuse-activity-7429442005631385600-  LD_o?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378  ,https://www.linkedin.com/posts/reincarnateacademy-buildingsector-reuse-ugcPost-7429424681683914752-2Tio?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Lean construction resource planning,"A BIM supported process model will be
developed and applied that will ensure
effective and efficient resource
management that will minimize waste of
resources. The process model promotes
integrated planning including resources
and allows for aggregation between
projects. ",https://www.linkedin.com/posts/reincarnateinnovation-constructionindustry-share-7292083098513477633-sESI?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-bim-digitaltools-ugcPost-7421204384765644800-S_KS?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Valuation of recycled materials,"Methods to indicate the functional
quality of recycled materials with a high
confidence based on data-driven
modelling approaches (machine
learning). ",https://www.linkedin.com/posts/reincarnateinnovation-constructionindustry-share-7294641494768934912-jYna?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-buildingsector-digitaltools-share-7346038168493744129-IV55?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
